expense_date,reference_number,vendor,branch_code,cost_center_code,category,amount,vat_rate,tax_amount,total_amount,payment_method,notes,currency
2025-01-02,EXP-20250102-00001,PackRight,3SC-RYD,OVERHEAD,Maintenance,1135.47,0.15,170.32,1305.79,bank_transfer,,SAR
2025-01-02,EXP-20250102-00002,RoasterOne,3SC-RYD2,COGS,Packaging,1628.91,0.15,244.34,1873.25,card,,SAR
2025-01-03,EXP-20250103-00003,PackRight,3SC-RYD,OVERHEAD,Utilities,1397.56,0.15,209.63,1607.19,bank_transfer,,SAR
2025-01-03,EXP-20250103-00004,PackRight,3SC-RYD2,COGS,Packaging,1132.07,0.15,169.81,1301.88,cash,,SAR
2025-01-03,EXP-20250103-00005,DairyFresh,3SC-RYD2,OVERHEAD,Maintenance,627.88,0.15,94.18,722.06,bank_transfer,,SAR
2025-01-04,EXP-20250104-00006,AdSpark,3SC-RYD,OVERHEAD,Marketing,653.51,0.15,98.03,751.54,cash,,SAR
2025-01-06,EXP-20250106-00007,RoasterOne,3SC-RYD,OVERHEAD,Utilities,263.06,0.15,39.46,302.52,card,,SAR
2025-01-06,EXP-20250106-00008,WaterWorks,3SC-RYD2,OVERHEAD,Marketing,511.53,0.15,76.73,588.26,card,,SAR
2025-01-07,EXP-20250107-00009,RoasterOne,3SC-RYD,COGS,Packaging,1341.33,0.15,201.2,1542.53,cash,,SAR
2025-01-07,EXP-20250107-00010,RoasterOne,3SC-RYD,OVERHEAD,Marketing,475.85,0.15,71.38,547.23,bank_transfer,,SAR
2025-01-08,EXP-20250108-00011,Saudi Electricity Co,3SC-RYD,OVERHEAD,Maintenance,796.17,0.15,119.43,915.6,card,,SAR
2025-01-09,EXP-20250109-00012,DairyFresh,3SC-RYD,OVERHEAD,Marketing,1445.28,0.15,216.79,1662.07,cash,,SAR
2025-01-09,EXP-20250109-00013,AdSpark,3SC-RYD,COGS,Packaging,1126.54,0.15,168.98,1295.52,cash,,SAR
2025-01-10,EXP-20250110-00014,WaterWorks,3SC-RYD,COGS,Coffee Beans,740.74,0.15,111.11,851.85,bank_transfer,,SAR
2025-01-10,EXP-20250110-00015,PackRight,3SC-RYD,COGS,Packaging,611.44,0.15,91.72,703.16,card,,SAR
2025-01-11,EXP-20250111-00016,Saudi Electricity Co,3SC-RYD,COGS,Milk & Dairy,1497.53,0.15,224.63,1722.16,card,,SAR
2025-01-11,EXP-20250111-00017,PackRight,3SC-RYD,OVERHEAD,Marketing,791.64,0.15,118.75,910.39,cash,,SAR
2025-01-11,EXP-20250111-00018,WaterWorks,3SC-RYD2,OVERHEAD,Utilities,452.28,0.15,67.84,520.12,cash,,SAR
2025-01-11,EXP-20250111-00019,WaterWorks,3SC-RYD2,COGS,Coffee Beans,1439.9,0.15,215.99,1655.89,cash,,SAR
2025-01-12,EXP-20250112-00020,Saudi Electricity Co,3SC-RYD2,COGS,Milk & Dairy,1141.96,0.15,171.29,1313.25,bank_transfer,,SAR
2025-01-13,EXP-20250113-00021,WaterWorks,3SC-RYD,OVERHEAD,Utilities,910.91,0.15,136.64,1047.55,cash,,SAR
2025-01-13,EXP-20250113-00022,WaterWorks,3SC-RYD,OVERHEAD,Utilities,471.1,0.15,70.67,541.77,cash,,SAR
2025-01-14,EXP-20250114-00023,AdSpark,3SC-RYD,OVERHEAD,Maintenance,906.58,0.15,135.99,1042.57,bank_transfer,,SAR
2025-01-14,EXP-20250114-00024,RoasterOne,3SC-RYD2,OVERHEAD,Maintenance,1676.49,0.15,251.47,1927.96,cash,,SAR
2025-01-15,EXP-20250115-00025,RoasterOne,3SC-RYD,OVERHEAD,Utilities,413.1,0.15,61.97,475.07,card,,SAR
2025-01-16,EXP-20250116-00026,AdSpark,3SC-RYD,COGS,Packaging,1290.15,0.15,193.52,1483.67,cash,,SAR
2025-01-17,EXP-20250117-00027,DairyFresh,3SC-RYD,COGS,Milk & Dairy,1094.34,0.15,164.15,1258.49,card,,SAR
2025-01-17,EXP-20250117-00028,RoasterOne,3SC-RYD2,COGS,Coffee Beans,1289.66,0.15,193.45,1483.11,bank_transfer,,SAR
2025-01-17,EXP-20250117-00029,PackRight,3SC-RYD2,COGS,Packaging,1117.53,0.15,167.63,1285.16,cash,,SAR
2025-01-18,EXP-20250118-00030,PackRight,3SC-RYD,COGS,Coffee Beans,506.75,0.15,76.01,582.76,bank_transfer,,SAR
2025-01-18,EXP-20250118-00031,RoasterOne,3SC-RYD,COGS,Milk & Dairy,861.96,0.15,129.29,991.25,cash,,SAR
2025-01-18,EXP-20250118-00032,AdSpark,3SC-RYD2,OVERHEAD,Maintenance,492.74,0.15,73.91,566.65,card,,SAR
2025-01-18,EXP-20250118-00033,Saudi Electricity Co,3SC-RYD2,COGS,Milk & Dairy,1364.96,0.15,204.74,1569.7,card,,SAR
2025-01-21,EXP-20250121-00034,DairyFresh,3SC-RYD,COGS,Milk & Dairy,412.21,0.15,61.83,474.04,bank_transfer,,SAR
2025-01-21,EXP-20250121-00035,PackRight,3SC-RYD2,COGS,Packaging,1145.9,0.15,171.89,1317.79,bank_transfer,,SAR
2025-01-21,EXP-20250121-00036,WaterWorks,3SC-RYD2,OVERHEAD,Maintenance,451.3,0.15,67.69,518.99,cash,,SAR
